param_name,min
module.module.base_model.model.module.model.layers.0.self_attn.q_proj.lora_A.default.weight,-5.1206770876888186e-05
module.module.base_model.model.module.model.layers.0.self_attn.q_proj.lora_B.default.weight,-0.04934069514274597
module.module.base_model.model.module.model.layers.0.self_attn.v_proj.lora_A.default.weight,-0.0035642737057060003
module.module.base_model.model.module.model.layers.0.self_attn.v_proj.lora_B.default.weight,-0.8020777702331543
module.module.base_model.model.module.model.layers.1.self_attn.q_proj.lora_A.default.weight,-5.196932761464268e-05
module.module.base_model.model.module.model.layers.1.self_attn.q_proj.lora_B.default.weight,-0.01466266717761755
module.module.base_model.model.module.model.layers.1.self_attn.v_proj.lora_A.default.weight,-0.0014359895139932632
module.module.base_model.model.module.model.layers.1.self_attn.v_proj.lora_B.default.weight,-1.9009532928466797
module.module.base_model.model.module.model.layers.2.self_attn.q_proj.lora_A.default.weight,-0.0001266847102669999
module.module.base_model.model.module.model.layers.2.self_attn.q_proj.lora_B.default.weight,-0.18982389569282532
module.module.base_model.model.module.model.layers.2.self_attn.v_proj.lora_A.default.weight,-0.0009200757485814393
module.module.base_model.model.module.model.layers.2.self_attn.v_proj.lora_B.default.weight,-0.7513782978057861
module.module.base_model.model.module.model.layers.3.self_attn.q_proj.lora_A.default.weight,-4.563033871818334e-05
module.module.base_model.model.module.model.layers.3.self_attn.q_proj.lora_B.default.weight,-0.15848904848098755
module.module.base_model.model.module.model.layers.3.self_attn.v_proj.lora_A.default.weight,-0.003947182092815638
module.module.base_model.model.module.model.layers.3.self_attn.v_proj.lora_B.default.weight,-0.29756298661231995
module.module.base_model.model.module.model.layers.4.self_attn.q_proj.lora_A.default.weight,-0.00016381649766117334
module.module.base_model.model.module.model.layers.4.self_attn.q_proj.lora_B.default.weight,-0.44697457551956177
module.module.base_model.model.module.model.layers.4.self_attn.v_proj.lora_A.default.weight,-0.001103369751945138
module.module.base_model.model.module.model.layers.4.self_attn.v_proj.lora_B.default.weight,-0.9627487063407898
module.module.base_model.model.module.model.layers.5.self_attn.q_proj.lora_A.default.weight,-0.00026230880757793784
module.module.base_model.model.module.model.layers.5.self_attn.q_proj.lora_B.default.weight,-0.4273605942726135
module.module.base_model.model.module.model.layers.5.self_attn.v_proj.lora_A.default.weight,-0.0010206648148596287
module.module.base_model.model.module.model.layers.5.self_attn.v_proj.lora_B.default.weight,-0.7210752964019775
module.module.base_model.model.module.model.layers.6.self_attn.q_proj.lora_A.default.weight,-8.194055408239365e-05
module.module.base_model.model.module.model.layers.6.self_attn.q_proj.lora_B.default.weight,-0.3034497797489166
module.module.base_model.model.module.model.layers.6.self_attn.v_proj.lora_A.default.weight,-0.0007807314395904541
module.module.base_model.model.module.model.layers.6.self_attn.v_proj.lora_B.default.weight,-0.411302387714386
module.module.base_model.model.module.model.layers.7.self_attn.q_proj.lora_A.default.weight,-8.801025978755206e-05
module.module.base_model.model.module.model.layers.7.self_attn.q_proj.lora_B.default.weight,-0.6632426977157593
module.module.base_model.model.module.model.layers.7.self_attn.v_proj.lora_A.default.weight,-0.0069899000227451324
module.module.base_model.model.module.model.layers.7.self_attn.v_proj.lora_B.default.weight,-0.7138253450393677
module.module.base_model.model.module.model.layers.8.self_attn.q_proj.lora_A.default.weight,-0.00017134452355094254
module.module.base_model.model.module.model.layers.8.self_attn.q_proj.lora_B.default.weight,-0.33820879459381104
module.module.base_model.model.module.model.layers.8.self_attn.v_proj.lora_A.default.weight,-0.007008228451013565
module.module.base_model.model.module.model.layers.8.self_attn.v_proj.lora_B.default.weight,-0.9835781455039978
module.module.base_model.model.module.model.layers.9.self_attn.q_proj.lora_A.default.weight,-0.00026297359727323055
module.module.base_model.model.module.model.layers.9.self_attn.q_proj.lora_B.default.weight,-0.8130115270614624
module.module.base_model.model.module.model.layers.9.self_attn.v_proj.lora_A.default.weight,-0.0010126514825969934
module.module.base_model.model.module.model.layers.9.self_attn.v_proj.lora_B.default.weight,-0.9556764960289001
module.module.base_model.model.module.model.layers.10.self_attn.q_proj.lora_A.default.weight,-0.00018516380805522203
module.module.base_model.model.module.model.layers.10.self_attn.q_proj.lora_B.default.weight,-0.15381908416748047
module.module.base_model.model.module.model.layers.10.self_attn.v_proj.lora_A.default.weight,-0.0011538895778357983
module.module.base_model.model.module.model.layers.10.self_attn.v_proj.lora_B.default.weight,-0.5663251876831055
module.module.base_model.model.module.model.layers.11.self_attn.q_proj.lora_A.default.weight,-4.649571928894147e-05
module.module.base_model.model.module.model.layers.11.self_attn.q_proj.lora_B.default.weight,-0.21718312799930573
module.module.base_model.model.module.model.layers.11.self_attn.v_proj.lora_A.default.weight,-0.00801795069128275
module.module.base_model.model.module.model.layers.11.self_attn.v_proj.lora_B.default.weight,-1.2758067846298218
module.module.base_model.model.module.model.layers.12.self_attn.q_proj.lora_A.default.weight,-0.0001582094992045313
module.module.base_model.model.module.model.layers.12.self_attn.q_proj.lora_B.default.weight,-0.23109838366508484
module.module.base_model.model.module.model.layers.12.self_attn.v_proj.lora_A.default.weight,-0.0011261103209108114
module.module.base_model.model.module.model.layers.12.self_attn.v_proj.lora_B.default.weight,-1.3292930126190186
module.module.base_model.model.module.model.layers.13.self_attn.q_proj.lora_A.default.weight,-0.0002641072787810117
module.module.base_model.model.module.model.layers.13.self_attn.q_proj.lora_B.default.weight,-0.7325530648231506
module.module.base_model.model.module.model.layers.13.self_attn.v_proj.lora_A.default.weight,-0.003243727143853903
module.module.base_model.model.module.model.layers.13.self_attn.v_proj.lora_B.default.weight,-1.549209475517273
module.module.base_model.model.module.model.layers.14.self_attn.q_proj.lora_A.default.weight,-4.520091169979423e-05
