param_name,rank,min
base_model.model.module.model.layers.26.self_attn.q_proj.lora_A.default.weight,0,-3.659110916487407e-06
base_model.model.module.model.layers.25.self_attn.v_proj.lora_B.default.weight,0,-0.01858658529818058
base_model.model.module.model.layers.25.self_attn.v_proj.lora_A.default.weight,0,-7.505605481128441e-06
base_model.model.module.model.layers.25.self_attn.q_proj.lora_B.default.weight,0,-0.016378875821828842
base_model.model.module.model.layers.25.self_attn.q_proj.lora_A.default.weight,0,-3.5970147109765094e-06
base_model.model.module.model.layers.24.self_attn.v_proj.lora_B.default.weight,0,-0.019030863419175148
base_model.model.module.model.layers.24.self_attn.v_proj.lora_A.default.weight,0,-8.874582999851555e-05
base_model.model.module.model.layers.24.self_attn.q_proj.lora_B.default.weight,0,-0.02007783204317093
base_model.model.module.model.layers.24.self_attn.q_proj.lora_A.default.weight,0,-1.497660832683323e-06
base_model.model.module.model.layers.23.self_attn.v_proj.lora_B.default.weight,0,-0.012230555526912212
base_model.model.module.model.layers.23.self_attn.v_proj.lora_A.default.weight,0,-0.0001029018749250099
base_model.model.module.model.layers.23.self_attn.q_proj.lora_B.default.weight,0,-0.02218879573047161
base_model.model.module.model.layers.23.self_attn.q_proj.lora_A.default.weight,0,-1.124683990383346e-06
base_model.model.module.model.layers.22.self_attn.v_proj.lora_B.default.weight,0,-0.07165256887674332
base_model.model.module.model.layers.22.self_attn.v_proj.lora_A.default.weight,0,-0.00012453690578695387
base_model.model.module.model.layers.22.self_attn.q_proj.lora_B.default.weight,0,-0.01744806207716465
base_model.model.module.model.layers.22.self_attn.q_proj.lora_A.default.weight,0,-3.6189162528899033e-06
base_model.model.module.model.layers.21.self_attn.v_proj.lora_B.default.weight,0,-0.03435515984892845
base_model.model.module.model.layers.21.self_attn.v_proj.lora_A.default.weight,0,-0.00023916360805742443
base_model.model.module.model.layers.21.self_attn.q_proj.lora_B.default.weight,0,-0.045870885252952576
base_model.model.module.model.layers.21.self_attn.q_proj.lora_A.default.weight,0,-3.7798126868437976e-06
base_model.model.module.model.layers.20.self_attn.v_proj.lora_B.default.weight,0,-0.04494483768939972
base_model.model.module.model.layers.20.self_attn.v_proj.lora_A.default.weight,0,-3.1124007364269346e-05
base_model.model.module.model.layers.20.self_attn.q_proj.lora_B.default.weight,0,-0.06043209135532379
base_model.model.module.model.layers.20.self_attn.q_proj.lora_A.default.weight,0,-9.055210284714121e-06
base_model.model.module.model.layers.19.self_attn.v_proj.lora_B.default.weight,0,-0.01793903484940529
base_model.model.module.model.layers.19.self_attn.v_proj.lora_A.default.weight,0,-2.8910571927553974e-05
base_model.model.module.model.layers.19.self_attn.q_proj.lora_B.default.weight,0,-0.06751274317502975
base_model.model.module.model.layers.19.self_attn.q_proj.lora_A.default.weight,0,-1.3632044101541396e-05
base_model.model.module.model.layers.18.self_attn.v_proj.lora_B.default.weight,0,-0.18835845589637756
base_model.model.module.model.layers.18.self_attn.v_proj.lora_A.default.weight,0,-9.836559183895588e-05
base_model.model.module.model.layers.18.self_attn.q_proj.lora_B.default.weight,0,-0.12906351685523987
base_model.model.module.model.layers.18.self_attn.q_proj.lora_A.default.weight,0,-1.3356429917621426e-05
base_model.model.module.model.layers.17.self_attn.v_proj.lora_B.default.weight,0,-0.16086290776729584
base_model.model.module.model.layers.17.self_attn.v_proj.lora_A.default.weight,0,-0.0006493597174994648
base_model.model.module.model.layers.17.self_attn.q_proj.lora_B.default.weight,0,-0.043006908148527145
base_model.model.module.model.layers.17.self_attn.q_proj.lora_A.default.weight,0,-7.294580882444279e-06
base_model.model.module.model.layers.16.self_attn.v_proj.lora_B.default.weight,0,-0.3994808793067932
base_model.model.module.model.layers.16.self_attn.v_proj.lora_A.default.weight,0,-0.0005434145568870008
base_model.model.module.model.layers.16.self_attn.q_proj.lora_B.default.weight,0,-0.11895634979009628
base_model.model.module.model.layers.16.self_attn.q_proj.lora_A.default.weight,0,-3.117222149739973e-05
base_model.model.module.model.layers.15.self_attn.v_proj.lora_B.default.weight,0,-0.08935002982616425
base_model.model.module.model.layers.15.self_attn.v_proj.lora_A.default.weight,0,-0.00018944076145999134
base_model.model.module.model.layers.15.self_attn.q_proj.lora_B.default.weight,0,-0.2668067514896393
base_model.model.module.model.layers.15.self_attn.q_proj.lora_A.default.weight,0,-3.948193625546992e-05
base_model.model.module.model.layers.14.self_attn.v_proj.lora_B.default.weight,0,-0.37377405166625977
base_model.model.module.model.layers.14.self_attn.v_proj.lora_A.default.weight,0,-0.0008856433560140431
base_model.model.module.model.layers.14.self_attn.q_proj.lora_B.default.weight,0,-0.062811940908432
base_model.model.module.model.layers.14.self_attn.q_proj.lora_A.default.weight,0,-2.0741757907671854e-05
base_model.model.module.model.layers.13.self_attn.v_proj.lora_B.default.weight,0,-1.008340835571289
base_model.model.module.model.layers.13.self_attn.v_proj.lora_A.default.weight,0,-0.0018063138704746962
base_model.model.module.model.layers.13.self_attn.q_proj.lora_B.default.weight,0,-0.4286797344684601
base_model.model.module.model.layers.13.self_attn.q_proj.lora_A.default.weight,0,-0.00013093400048092008
base_model.model.module.model.layers.12.self_attn.v_proj.lora_B.default.weight,0,-0.9942696690559387
base_model.model.module.model.layers.12.self_attn.v_proj.lora_A.default.weight,0,-0.0005739679909311235
