File,Start Line,End Line,Operation Type,Message
setup.py,4,7,INSERT,"['import os', 'DEVICE_ID= 0', ""if os.getenv('DEVICE_ID') and str.isdigit(os.getenv('DEVICE_ID')):\n    DEVICE_ID= int(os.getenv('DEVICE_ID'))""]"
train.py,286,291,INSERT,add statement of sampler.set_epoch
train.py,181,183,INSERT,init statement of DistributedDataParallel
train.py,13,13,INSERT,import torch_npu
train.py,436,441,INSERT,"['import torch.npu', ""if torch.npu.current_device() != DEVICE_ID:\n    torch.npu.set_device(f'npu:{DEVICE_ID}')"", ""RANK_SIZE = int(os.getenv('RANK_SIZE'))"", ""RANK_ID = int(os.getenv('RANK_ID'))"", ""torch.distributed.init_process_group('hccl', rank=RANK_ID, world_size=RANK_SIZE)""]"
train.py,436,439,INSERT,"['import os', 'DEVICE_ID= 0', ""if os.getenv('DEVICE_ID') and str.isdigit(os.getenv('DEVICE_ID')):\n    DEVICE_ID= int(os.getenv('DEVICE_ID'))""]"
train.py,352,352,MODIFY,change the arg at position 0 of function to to f'npu:{DEVICE_ID}'
train.py,350,350,MODIFY,"change the arg at position 1 of function torch.tensor to f'npu:{get_current_device()}' if isinstance(get_current_device(), int) else get_current_device()"
colossal_llama/dataset/conversation.py,20,23,INSERT,"['import os', 'DEVICE_ID= 0', ""if os.getenv('DEVICE_ID') and str.isdigit(os.getenv('DEVICE_ID')):\n    DEVICE_ID= int(os.getenv('DEVICE_ID'))""]"
colossal_llama/dataset/dummy_dataset.py,1,1,INSERT,import torch_npu
colossal_llama/dataset/dummy_dataset.py,7,10,INSERT,"['import os', 'DEVICE_ID= 0', ""if os.getenv('DEVICE_ID') and str.isdigit(os.getenv('DEVICE_ID')):\n    DEVICE_ID= int(os.getenv('DEVICE_ID'))""]"
colossal_llama/dataset/dummy_dataset.py,11,13,MODIFY,"change the arg at position 3 of function torch.randint to f'npu:{get_accelerator().get_current_device()}' if isinstance(get_accelerator().get_current_device(), int) else get_accelerator().get_current_device()"
colossal_llama/dataset/loader.py,8,8,INSERT,import torch_npu
